Job ID,Link,Company,Title,Location,Level,Description
[],https://www.linkedin.com/jobs/view/linux-software-engineer-at-seescan-2369109376?refId=762c1adf-1e72-47e7-a691-9db111d005df&trackingId=%2FUqEbH%2FW7g6f2u1rx7dZsg%3D%3D&trk=public_jobs_topcard_title,SeeScan,Linux Software Engineer,"San Diego, CA",Not Applicable,"SeeScan is seeking an experienced Linux Software Engineer who shows enthusiasm for new technologies, solutions, and devices, is an excellent problem-solver, and enjoys working in a fast-paced development environment."
[],https://www.linkedin.com/jobs/view/software-security-tooling-developer-at-servicenow-2392397758?refId=762c1adf-1e72-47e7-a691-9db111d005df&trackingId=STlPh0exUWQF4otngEK%2FYw%3D%3D&trk=public_jobs_topcard_title,ServiceNow,Software Security Tooling Developer,"Santa Clara, CA",Entry level,"Job Title: Software Security Tooling Developer Location: San Diego, CA, Santa Clara, CA, or Chicago, IL (1201 West)  Company  Work matters. It’s where we spend a third of our lives. And the workplace of the future is going to be a great place. We’re dedicated to bringing that to life for people everywhere. That’s why we put people at the heart of everything we do.  People matter. Our people have a passion for learning, building, and innovating. Whether you’re an engineer, a sales professional, a finance professional, or anything in-between, our roles aim to provide each person with meaningful impact and plenty of space to grow.    As a security tooling engineering you’ll be a key member in the Product Security DevSecOps team. The Product Security DevSecOps teams provides security tooling and resources to our Security Champions program and the Product Security testing teams. We design and deliver automations and features in our security tooling that will be used in our Security Champions and Security Testing programs. You will own your code from design through implementation and test automation. You will also draw from your years of experience in the field to assist and guide others on the team."
[],https://www.linkedin.com/jobs/view/software-engineer-at-servicenow-2392398645?refId=762c1adf-1e72-47e7-a691-9db111d005df&trackingId=Bs1BzFHC%2BCO3xf2XLvIZ1w%3D%3D&trk=public_jobs_topcard_title,ServiceNow,Software Engineer,"Santa Clara, CA",Entry level,"Job title: Software Engineer Location: Santa Clara, CA, USA (HQ)  ServiceNow, The Enterprise IT Cloud Company, is the industry-leading cloud (SaaS) provider of IT solutions for enterprise customers. ServiceNow is transforming and reinventing the way large corporations are managing their IT by developing and delivering a comprehensive suite of cloud-based services for enterprise IT management.  Our cloud platform allows enterprise IT to bring together business strategy, application design and operations in a powerfully simple solution. Our customers use our extensible platform (PaaS) to build custom applications for automating activities unique to their business requirements.  To sustain our explosive growth, we are looking for drivers—people who thrive on responsibility and live for the next big challenge. We seek to employ the brightest and most forward-thinking talent on the planet; we're looking for professionals who aren't content with the status quo—people who are more interested in how things could become. Accelerate your career and succeed in an environment where you can make an impact daily. We invite you to join in to stand out.    The Automation Applications team is focused on transforming enterprise IT by providing innovative applications, which automate and standardize IT Operations Management (ITOM) across the enterprise.  The goal of the Automation Applications team is to radically increase efficiency and interoperability of IT processes (primarily the areas of ITOM & ITPA).  We leverage discovery, workflows, and orchestration to build applications that monitor and manage technology infrastructure for our enterprise customers.    ServiceNow is seeking a Software Developer, to join our rapidly growing team, building ITOM (IT Operations Management) & ITPA (IT Process Automation) software.  The team is looking for passionate developers, who are in search of an exciting environment and innovative technology.  As a Software Developer, you will be a member of a strong team of developers working on some of the company’s core applications.          We are a dynamic and rapidly growing software company with a strong sense of dedication to our customers. We work with some of the most innovative and advanced technologies in the business. The Automation Development team is a very collaborative and inclusive team where individuals strong on aptitude and attitude will have an opportunity to grow their professional careers. We provide competitive compensation, generous benefits and a professional, open yet relaxed work atmosphere."
0,[],https://www.linkedin.com/jobs/view/linux-software-engineer-at-seescan-2369109376?refId=10350344-1bee-4702-88a7-7c4b3005d277&trackingId=%2F850%2BmVIHk78yiOerGeY%2BA%3D%3D&trk=public_jobs_topcard_title,SeeScan,Linux Software Engineer,"San Diego, CA",Not Applicable,"SeeScan is seeking an experienced Linux Software Engineer who shows enthusiasm for new technologies, solutions, and devices, is an excellent problem-solver, and enjoys working in a fast-paced development environment."
1,[],https://www.linkedin.com/jobs/view/software-security-tooling-developer-at-servicenow-2392397758?refId=10350344-1bee-4702-88a7-7c4b3005d277&trackingId=h6bpFRuPvAffagb%2F9E%2F5Lg%3D%3D&trk=public_jobs_topcard_title,ServiceNow,Software Security Tooling Developer,"Santa Clara, CA",Entry level,"Job Title: Software Security Tooling Developer Location: San Diego, CA, Santa Clara, CA, or Chicago, IL (1201 West)  Company  Work matters. It’s where we spend a third of our lives. And the workplace of the future is going to be a great place. We’re dedicated to bringing that to life for people everywhere. That’s why we put people at the heart of everything we do.  People matter. Our people have a passion for learning, building, and innovating. Whether you’re an engineer, a sales professional, a finance professional, or anything in-between, our roles aim to provide each person with meaningful impact and plenty of space to grow.    As a security tooling engineering you’ll be a key member in the Product Security DevSecOps team. The Product Security DevSecOps teams provides security tooling and resources to our Security Champions program and the Product Security testing teams. We design and deliver automations and features in our security tooling that will be used in our Security Champions and Security Testing programs. You will own your code from design through implementation and test automation. You will also draw from your years of experience in the field to assist and guide others on the team."
[],https://www.linkedin.com/jobs/view/linux-software-engineer-at-seescan-2369109376?refId=b6f77834-1e9a-4eda-950a-740640c41c9d&trackingId=TfefbNFHrzw9AI9j7bhktA%3D%3D&trk=public_jobs_topcard_title,SeeScan,Linux Software Engineer,"San Diego, CA",Not Applicable,"SeeScan is seeking an experienced Linux Software Engineer who shows enthusiasm for new technologies, solutions, and devices, is an excellent problem-solver, and enjoys working in a fast-paced development environment."
[],https://www.linkedin.com/jobs/view/software-security-tooling-developer-at-servicenow-2392397758?refId=b6f77834-1e9a-4eda-950a-740640c41c9d&trackingId=3lZ4Y%2Fb96rfkgmYQD87zqA%3D%3D&trk=public_jobs_topcard_title,ServiceNow,Software Security Tooling Developer,"Santa Clara, CA",Entry level,"Job Title: Software Security Tooling Developer Location: San Diego, CA, Santa Clara, CA, or Chicago, IL (1201 West)  Company  Work matters. It’s where we spend a third of our lives. And the workplace of the future is going to be a great place. We’re dedicated to bringing that to life for people everywhere. That’s why we put people at the heart of everything we do.  People matter. Our people have a passion for learning, building, and innovating. Whether you’re an engineer, a sales professional, a finance professional, or anything in-between, our roles aim to provide each person with meaningful impact and plenty of space to grow.    As a security tooling engineering you’ll be a key member in the Product Security DevSecOps team. The Product Security DevSecOps teams provides security tooling and resources to our Security Champions program and the Product Security testing teams. We design and deliver automations and features in our security tooling that will be used in our Security Champions and Security Testing programs. You will own your code from design through implementation and test automation. You will also draw from your years of experience in the field to assist and guide others on the team."
[],https://www.linkedin.com/jobs/view/linux-software-engineer-at-seescan-2369109376?refId=2178ba04-65b7-45a7-a046-564d8bc87c70&trackingId=KyPXmf3dxhy4MkOk%2BcZa9Q%3D%3D&trk=public_jobs_topcard_title,SeeScan,Linux Software Engineer,"San Diego, CA",Not Applicable,"SeeScan is seeking an experienced Linux Software Engineer who shows enthusiasm for new technologies, solutions, and devices, is an excellent problem-solver, and enjoys working in a fast-paced development environment."
[],https://www.linkedin.com/jobs/view/software-engineer-developer-productivity-at-twitter-2406082954?refId=2178ba04-65b7-45a7-a046-564d8bc87c70&trackingId=Aky0zlUcAEP7Bfk9PQ%2FdOQ%3D%3D&trk=public_jobs_topcard_title,Twitter,"Software Engineer, Developer Productivity","Los Angeles, CA",Not Applicable,"Company Description  Twitter is what’s happening and what people are talking about right now. For us, life's not about a job, it's about purpose. We believe real change starts with conversation. Here, your voice matters. Come as you are and together we'll do what's right (not what's easy) to serve the public conversation.    Come join a focused team serving the development needs of thousands of Twitter engineers every day, supporting everything from machine learning development in Python to microservice development in Scala. We build and integrate the systems that make the life of a Twitter developer faster, happier, and focused on the global conversation rather than the configuration and speed of their tools.  In our Engineering Effectiveness group, you'll work for all Twitter developers to build and improve language tools, development environments, and build systems. You'll work in close collaboration with internal Twitter developers to establish requirements and roadmaps - then take on projects that impact the daily development experience of our colleagues worldwide. You will work closely with senior members of the team to grow your skill set and impact in a supportive environment."
"[<selenium.webdriver.remote.webelement.WebElement (session=""6fd69956220bf071456ae2b1a76ad0ed"", element=""f2971eac-9084-40c8-b323-81fea8b0773a"")>]",https://www.linkedin.com/jobs/view/software-engineer-at-imo-2406127573?refId=dc84c09e-4568-4228-b473-bb769f414652&trackingId=5CwTmLuJ82j%2Bi8LTgpucvA%3D%3D&trk=public_jobs_topcard_title,IMO,Software Engineer,"Santa Clara, CA",Entry level,"Description of the position: The mask metrology group at Intel Mask Operations is looking for someone who is primarily a software engineer but also who preferably has some background in other relevant areas of science/engineering to work on nanometer-scale computer vision and metrology applications. Responsibilities include programming for an existing application that analyzes design data and generates recipes for various metrology tools, algorithm development and programming for CD-SEM image analysis, and software development for inspection, registration and other image-based measurements. This a great opportunity to work directly with users to develop internal software tools and to have access to thousands of images for developing new algorithms and applications in image analysis that will get used in a production environment for mask and semiconductor manufacturing. While we have a few people in our department currently supporting our internally-developed software this position is not in a software group and requires someone willing to work relatively independently, helping to define requirements, implementing new features and helping to ensure that the software is reliable by developing and implementing test plans. Because this is a manufacturing facility you should also be prepared to document any changes to software running in the production environment and review the changes during meetings with internal stakeholders."
